Book_A,Chapter_A,Number_A,Matn_A,Book_B,Chapter_B,Number_B,Matn_B,Label
Bukhari,68,5284,"Aisha intended to buy Barira, but her masters stipulated that her wala wound be for them. Aishamentioned that to the Prophet (ﷺ) who said (to `Aisha), ""Buy and manumit her, for the wala is for the onewho manumits."" Once some me; was brought to the Prophet (ﷺ) and was said, ""This meat was given incharity to Barira. "" The Prophet (ﷺ) said, ""It an object of charity for Barira and present for us.""Narrated Adam:Shu`ba relate the same Hadith and added: Barira was given the option regarding her husband.",IbnMaja,10,2080,"Three Sunan were established because of Barirah: She was given the choice (of whether to remain married) when she was freed, and her husband was a slave; they used to give her charity and she used to give it as a gift to the Prophet (ﷺ), and he would say: 'It is charity for her and a gift for us,' and he said, the 'Wala' is for the one who set the slave free.'""",1
Nesai,35,3810,"""Whoever vows to obey Allah, let him obey Him, and whoever vows to disobey Allah, let him not disobey Him.""",IbnMaja,11,2132,"""There is no vow to commit disobedience, and the expiation (for such a vow) is the expiation for breaking an oath.""",0
Nesai,35,3838,"""There is no vow to commit an act of disobedience and its expiation is the expiation for an oath.""",IbnMaja,11,2132,"""There is no vow to commit disobedience, and the expiation (for such a vow) is the expiation for breaking an oath.""",1
Tirmizi,49,4129,"that the Messenger of Allah (ﷺ) said: ""The virtue of 'Aishah over women is like the virtue of Tharid over all other foods.""",Muslim,44,6173,The excellence of 'A'isha over women is like the excellence of Tharid over all other foods.,1
Muslim,44,6173,The excellence of 'A'isha over women is like the excellence of Tharid over all other foods.,Nesai,36,3952,"""The superiority of 'Aishah to other women is like the superiority of Tharid to other kinds of food.""",1
Nesai,30,3626,"""The Messenger of Allah did not leave behind a Dirham or a Dinar, or a sheep or a camel, and he did not leave any will."" Ja'far did not mention ""Dinar or Dirham.""",Nesai,30,3624,"""The Messenger of Allah did not leave behind a Dinar or a Dirham, or a sheep or a camel, and he did not leave any will.""",1
Nesai,46,4930,"""The hand of the thief is to be cut off for one-quarter of a Dinar or more.""",Nesai,46,4931,"""Cutting off (the hand of the thief) is for one-quarter of a Dinar or more.""",1
Nesai,46,4931,"""Cutting off (the hand of the thief) is for one-quarter of a Dinar or more.""",Nesai,46,4940,"The Messenger of Allah said: 'The hand of the thief is not to be cut off for anything less than a shield.""' It was said to 'Aishah: 'What is the price of a shield?"" She said: ""One-quarter of a Dinar.""",1
Bukhari,89,6946,"I asked the Prophet, ""O Allah's Messenger (ﷺ)! Should the women be asked for their consent to theirmarriage?"" He said, ""Yes."" I said, ""A virgin, if asked, feels shy and keeps quiet."" He said, ""Her silencemeans her consent.""",Bukhari,89,6971,"Allah's Messenger (ﷺ) said, ""It is essential to have the consent of a virgin (for the marriage). I said, ""A virginfeels shy."" The Prophet; said, ""Her silence means her consent."" Some people said, ""If a man falls inlove with an orphan slave girl or a virgin and she refuses (him) and then he makes a trick by bringingtwo false witnesses to testify that he has married her, and then she attains the age of puberty andagrees to marry him and the judge accepts the false witness and the husband knows that the witnesseswere false ones, he may consummate his marriage.""",1
Bukhari,89,6971,"Allah's Messenger (ﷺ) said, ""It is essential to have the consent of a virgin (for the marriage). I said, ""A virginfeels shy."" The Prophet; said, ""Her silence means her consent."" Some people said, ""If a man falls inlove with an orphan slave girl or a virgin and she refuses (him) and then he makes a trick by bringingtwo false witnesses to testify that he has married her, and then she attains the age of puberty andagrees to marry him and the judge accepts the false witness and the husband knows that the witnesseswere false ones, he may consummate his marriage.""",Bukhari,67,5137,"I said, ""O Allah's Messenger (ﷺ)! A virgin feels shy."" He said, ""Her consent is (expressed by) her silence.""",1
bukhari,92,7135,"that one day allah's messenger (ﷺ) entered upon her in a state of fear and said, ""none has the right to beworshipped but allah! woe to the arabs from the great evil that has approached (them). today a holehas been opened in the dam of gog and magog like this."" the prophet (ﷺ) made a circle with his indexfinger and thumb. zainab bint jahsh added: i said, ""o alllah's apostle! shall we be destroyed thoughthere will be righteous people among us?"" the prophet (ﷺ) said, ""yes, if the (number) of evil (persons)increased.""",abudaud,1,178,the prophet (ﷺ) kissed me and did not perform ablution.abu dawud said: this tradition is mursal (i.e. where the link of the companions is missing and the successor reports from the prophet directly). ibrahim at-taimi did not hear anything from 'aishah.abu dawud said: al-firyabi and other narrated this tradition in a like manner.,0
bukhari,33,2033,"aisha said, ""the prophet (ﷺ) used to practice i`tikaf in the last ten days of ramadan and i used to pitch atent for him, and after offering the morning prayer, he used to enter the tent."" hafsa asked thepermission of aisha to pitch a tent for her and she allowed her and she pitched her tent. when zainabbint jahsh saw it, she pitched another tent. in the morning the prophet (ﷺ) noticed the tents. he said,'what is this?"" he was told of the whole situation. then the prophet (ﷺ) said, ""do you think that theyintended to do righteousness by doing this?"" he therefore abandoned the i`tikaf in that month andpracticed i`tikaf for ten days in the month of shawwal.""",abudaud,34,3965,the messenger of allah (ﷺ) cursed mannish women.,0
bukhari,10,875,"whenever allah's messenger (ﷺ) completed the salat with taslim, the women used to get up immediately and allah's messenger (ﷺ)would remain at his place for sometime before getting up. the subnarrator (az-zuhri) said, ""we think, and allah knows better, that he did so, so that the women might leave before the men could catch up with them.""",bukhari,50,2561,"that aisha told him that buraira came to seek her help in her writing of emancipation (for a certainsum) and that time she had not paid anything of it. aisha said to her, ""go back to your masters, and ifthey agree that i will pay the amount of your writing of emancipation and get your wala', i will doso."" buraira informed her masters of that but they refused and said, ""if she (i.e. aisha) is seekingallah's reward, then she can do so, but your wala' will be for us."" aisha mentioned that to allah'sapostle who said to her, ""buy and manumit her, as the wala' is for the liberator."" allah's messenger (ﷺ) thengot up and said, ""what about the people who stipulate conditions which are not present in allah'slaws? whoever imposes conditions which are not present in allah's laws, then those conditions willbe invalid, even if he imposed these conditions a hundred times. allah's conditions (laws) are thetruth and are more solid.""",0
muslim,32,4612,"i took part with the messenger of allah (ﷺ) in seven battles. i would stay behind in the camp of men, cook their food, treat the wounded and nurse the sick.",muslim,2,622,"jarir urinated, then performed ablution and wiped over the socks. it was said to him: do you do like this? he said: yes, i saw that the messenger of allah (ﷺ) urinated, then performed ablution and then wiped over his shoes. a'mash said: ibrahim had observed that this hadith was a surprise for them (the people) because jarir had embraced islam after the revelation of surat al-ma'ida.",0
abudaud,2,802,the prophet (ﷺ) used to stand in the rak’ah of prayer so much so that no sound of steps heard.,bukhari,25,1672,"sauda asked the permission of the prophet (ﷺ) to leave earlier at the night of jam', and she was a fat and very slow woman. the prophet (ﷺ) gave her permission.",0
bukhari,10,875,"whenever allah's messenger (ﷺ) completed the salat with taslim, the women used to get up immediately and allah's messenger (ﷺ)would remain at his place for sometime before getting up. the subnarrator (az-zuhri) said, ""we think, and allah knows better, that he did so, so that the women might leave before the men could catch up with them.""",bukhari,25,1673,"we got down at al-muzdalifa and sauda asked the permission of the prophet (ﷺ) to leave (early) before the rush of the people. she was a slow woman and he gave her permission, so she departed (from al- muzdalifa) before the rush of the people. we kept on staying at al-muzdalifa till dawn, and set out with the prophet (ﷺ) but (i suffered so much that) i wished i had taken the permission of allah's messenger (ﷺ) as sauda had done, and that would have been dearer to me than any other happiness.",0
muslim,32,4603,"messenger of allah, this is umm sulaim. she is holding a dagger. the messenger of allah (ﷺ) asked (her): what for are you holding this dagger? she said: i took it up so that i may tear open the belly of a polytheist who comes near me. the messenger of allah (ﷺ) began to smile (at these words). she said: messenger of allah, kill all those people-other than us-whom thou hast declared to be free (on the day of the conquest of mecca). (they embraced islam because) they were defeated at your hands (and as such their islam is not dependable). the messenger of allah (ﷺ) said: umm sulaim. god is sufficient (against the mischief of the polytheists) and he will be kind to us (so you need not carry this dagger).",bukhari,10,626,allah's messenger (ﷺ) used to pray two light rak`at before the morning (compulsory) prayer after the daydawned and the mu'adh-dhin had finished his adhan. he then would lie on his right side till themu'adh-dhin came to pronounce the iqama.,0
muslim,4,993,"the messenger of allah (ﷺ) said to us: when any one of you comes to the mosque, she should not apply perfume.",bukhari,66,5042,"the prophet (ﷺ) heard a reciter reciting, the qur'an in the mosque at night. the prophet (ﷺ) said, ""may allahbestow his mercy on him, as he has remind ed me of such-and-such verses of such and-such suras,which i missed!""",0
muslim,4,995,"i heard 'a'isha, the wife of the messenger of allah (ﷺ). say: if the messenger of allah (ﷺ) had seen what new things the women have introduced (in their way of life) he would have definitely prevented them from going to the mosque, as the women of baniisra'il were prevented.",bukhari,86,6844,"abu bakr came to me while allah's messenger (ﷺ) was sleeping with his head on my thigh. abu bakr said(to me), ""you have detained allah's messenger (ﷺ) and the people, and there is no water in this place."" so headmonished me and struck my flanks with his hand, and nothing could stop me from moving exceptthe reclining of allah's messenger (ﷺ) (on my thigh), and then allah revealed the divine verse oftayammum.",0
abudaud,2,1010,"yes. he then raised his head. the version does not mention the words “he uttered the takbir. he then uttered the takbir and made the prostration as usual or prolonged it. he then raised his head”. the narrator then prostration as usual or prolonged it. he then raised his head”. the narrator then finished the tradition and did not mention the words that follow it. he did not mention the words “they made a sign”, but hammad b. zaid mentioned them in his version.abu dawud said: anyone who narrated this tradition did not mention the words “ then he uttered the takbir”, nor the words “he returned”",bukhari,86,6845,"abu bakr came to towards me and struck me violently with his fist and said, ""you have detained thepeople because of your necklace."" but i remained motionless as if i was dead lest i should awakeallah's messenger (ﷺ) although that hit was very painful.",0
abudaud,2,1011,"then he gave the salutation.”the narrator said: i asked; what about the tashahud? he replied: i did not hearthing about the tashahhud, but it is more liking to me that one should recite the tashahhud. this version has not the words “whom he called the possessor of arms(dhu al-yadain).” nor the words “they made a sign,” nor the word “anger”. the tradition narrated by hammad from ayyub is more perfect.",bukhari,19,1161,"after offering the sunna of the fajr prayer, the prophet (ﷺ) used to talk to me, if i happen to be awake;otherwise he would lie down till the iqama call was proclaimed (for the fajr prayer).",0
abudaud,2,1012,"the prophet (ﷺ) uttered the takbir and prostrated himself (in a tradition relating to the incidence of the possessor of arms [dhu al-yadain]). the narrator hisham, i,e, ibn hassan said: he uttered the takbir ; then he uttered the takbir and prostrated himself.abu dawud said : this tradition has also been narrated by habib b. al-shahid, humaid, yunus, and asim b. al-ahwal, from muhammad on the authority of abu hurairah none of them mentioned what hammad b. zaid mentioned from from hisham that he uttered the takbir; then uttered the takbir and prostrated himself. hammad b. sulaimah and abu bakr b. ‘ayyash also narrated this tradition from hisham, but they did not narrate from him what hammad b. zaid narrated that he uttered the takbir and again uttered the takbir.",bukhari,10,683,"aisha said, ""allah's messenger (ﷺ) ordered abu bakr to lead the people in the prayer during his illness andso he led them in prayer."" `urwa, a sub narrator, added, ""allah's messenger (ﷺ) felt a bit relieved and cameout and abu bakr was leading the people. when abu bakr saw the prophet (ﷺ) he retreated but theprophet beckoned him to remain there. allah's messenger (ﷺ) sat beside abu bakr. abu bakr was followingthe prayer of allah's messenger (ﷺ) and the people were following the prayer of abu bakr.""",0
muslim,3,709,"in case a woman sees that, she must take a bath. umm sulaim said: i was bashful on account of that and said: does it happen? upon this the messenger of allah (ﷺ) said: yes (it does happen), otherwise how can (a child) resemble her? man's discharge (i. e. sperm) is thick and white and the discharge of woman is thin and yellow; so the resemblance comes from the one whose genes prevail or dominate.",bukhari,5,271,it is as if i am just looking at the glitter of scent in the parting of the prophet's head hair while he wasa muhrim.,0
bukhari,76,5766,"magic was worked on allah's messenger (ﷺ) so that he began to imagine that he had done somethingalthough he had not. one day while he was with me, he invoked allah and invoked for a long periodand then said, ""o aisha! do you know that allah has instructed me regarding the matter i asked himabout?"" i asked, ""what is that, o allah's messenger (ﷺ)?"" he said, ""two men came to me; one of them satnear my head and the other sat near my feet. one of them asked his companion, 'what is the disease ofthis man?' the other replied, 'he is under the effect of magic.' the first one asked, 'who has workedmagic on him?"" the other replied, 'labid bin a'sam, a jew from the tribe of bani zuraiq.' the (firstone asked), 'with what has it been done?' the other replied, 'with a a comb and the hair stuck to it anda skin of the pollen of a male datepalm tree.' the first one asked, 'where is it?' the other replied, 'inthe well of dharwan.' then the prophet (ﷺ) went along with some of his companions to that well andlooked at that and there were date palms near to it. then he returned to me and said, 'by allah thewater of that well was (red) like the infusion of henna leaves and its date-palms were like the heads ofdevils"" i said, o allah's messenger (ﷺ)! did you take those materials out of the pollen skin?"" he said, 'no!as for me allah has healed me and cured me and i was afraid that (by showing that to the people) iwould spread evil among them when he ordered that the well be filled up with earth, and it was filledup with earth """,muslim,39,5611,""" allah's messenger (ﷺ) went to the well and looked towards it and there were trees of date-palm near it. i ('a'isha) said: i asked allah'& messenger (ﷺ) to bring it out, and 1 did not say: why did not you burn it?"" and there is no mention of these words:"" i commanded (to bury them and they buried.""",0
bukhari,86,6844,"abu bakr came to me while allah's messenger (ﷺ) was sleeping with his head on my thigh. abu bakr said(to me), ""you have detained allah's messenger (ﷺ) and the people, and there is no water in this place."" so headmonished me and struck my flanks with his hand, and nothing could stop me from moving exceptthe reclining of allah's messenger (ﷺ) (on my thigh), and then allah revealed the divine verse oftayammum.",bukhari,86,6845,"abu bakr came to towards me and struck me violently with his fist and said, ""you have detained thepeople because of your necklace."" but i remained motionless as if i was dead lest i should awakeallah's messenger (ﷺ) although that hit was very painful.",1
bukhari,19,1161,"after offering the sunna of the fajr prayer, the prophet (ﷺ) used to talk to me, if i happen to be awake;otherwise he would lie down till the iqama call was proclaimed (for the fajr prayer).",abudaud,13,2162,"maimun bin mihram said “i came to median and went to sa’id bin al musayyab”. i said (to him) fathimah daughter of qais was divorced and she shifted from her house. sa’id said “this woman has perverted people. she was arrogant so she was placed with ibn umm makhtum, the blind.”",0
abudaud,13,2157,"abu ishaq said “i was with al aswad in the congregational mosque. he said “fathimah daughter of qais came to ‘umar bin al khattab(may allaah be pleased with him). (when she narrated the tradition about her divorce) he said “we are not to leave the book of our lord and the sunnah of our prophet (ﷺ) for the statement of a woman, we do not know whether she remembered it or not.”",bukhari,56,2806,"um ar-rubai'bint al-bara', the mother of hartha bin suraqa came to the prophet (ﷺ) and said, ""o allah's prophet! will you tell me about hartha?"" hartha has been killed (i.e. martyred) on the day of badr with an arrow thrown by an unidentified person. she added, ""if he is in paradise, i will be patient; otherwise, i will weep bitterly for him."" he said, ""o mother of hartha! there are gardens in paradise and your son got the firdausal-ala (i.e. the best place in paradise).",0
bukhari,11,890,"`abdur-rahman bin abi bakr came holding a siwak with which he was cleaning his teeth. allah'sapostle looked at him. i requested `abdur-rahman to give the siwak to me and after he gave it to mei divided it, chewed it and gave it to allah's messenger (ﷺ). then he cleaned his teeth with it and (at thattime) he was resting against my chest.",abudaud,2,949,"hilal ibn yasaf said: i came to ar-raqqah (a place in syria). one of my companions said to me: do you want to see any of the companions of the prophet (ﷺ)? i said: a good opportunity. so we went to wabisah.i said to my friend: let us first see his mode of living. he had a cap with two ears stuck (to his head), and wearing a brown silken robe. he was resting on a staff during prayer. we asked him (about resting on the staff) after salutation; he said: umm qays daughter of mihsan said to me that when the messenger of allah (ﷺ) became aged and the flesh grew increasingly on him, he took a prop at his place of prayer and rested on it.",0
nesai,24,2695,"""it is as if i can see the glistening of the perfume on the head of the messenger of allah while he is in ihram.",nesai,24,2698,"""i saw the glistening of the perfume on the head of the messenger of allah while he was initiating ihram.",1
nesai,24,2703,i used to see the glistening of the perfume in the parting of the messenger of allah after three (days),tirmizi,10,1019,"""when the messenger of allah died, they disagreed over where to bury him. so abu bakr said: 'i heard the messenger of allah saying something which i have not forgotten, he said: ""allah does not take (the life of ) a prophet except at the location in which he wants him to be buried.'"" so they buried him at the spot of his bed.""",0
abudaud,14,2191,the messenger of allah (ﷺ) used to count the days in sha'ban in a manner he did not count any other month; then he fasted when he sighted the new moon of ramadan; but if the weather was cloudy he counted thirty days and then fasted.,abudaud,43,4952,"shariq al-hawzani and i came to aisha (allah be pleased with her) and asked her: by which (prayer) the messenger of allah (ﷺ) began when he woke up at night? she replied: you asked me about a thing which no one asked me before. when he woke up at night, he uttered: ""allah is most great"" ten times, and uttered ""praise be to allah"" ten times, and said ""glory be to allah and i begin with his praise"" ten times, and said: ""glory be to the king, the most holy"" ten times, and asked allah's pardon ten times, and said: ""there is no god but allah"" ten times, and then said: ""o allah! i seek refuge in thee from the strait of the day of resurrection,"" ten times. he then began the prayer.",0
abudaud,43,4966,"when the prophet (ﷺ) saw a cloud formation in the sky, he left work, even if he were at prayer, and then would say: ""o allah! i seek refuge in thee from its evil. "" if it rained, he would say: ""o allah! send a beneficial downpour.""",bukhari,70,5416,the family of muhammad had not eaten wheat bread to their satisfaction for three consecutive dayssince his arrival at medina till he died.,0
bukhari,7,336,"aisha said, ""i borrowed a necklace from asma' and it was lost. so allah's messenger (ﷺ) sent a man tosearch for it and he found it. then the time of the prayer became due and there was no water. theyprayed (without ablution) and informed allah's messenger (ﷺ) about it, so the verse of tayammum wasrevealed."" usaid bin hudair said to aisha, ""may allah reward you. by allah, whenever anythinghappened which you did not like, allah brought good for you and for the muslims in that.""",bukhari,70,5416,the family of muhammad had not eaten wheat bread to their satisfaction for three consecutive dayssince his arrival at medina till he died.,0
bukhari,57,3151,"i used to carry the date stones on my head from the land of az-zubair which allah's messenger (ﷺ) hadgiven to him, and it was at a distance of 2/3 of a farsakh from my house.narrated hisham's father: the prophet (ﷺ) gave az-zubair a piece of land from the property of bani an-nadir (gained as war booty).",abudaud,13,2157,"abu ishaq said “i was with al aswad in the congregational mosque. he said “fathimah daughter of qais came to ‘umar bin al khattab(may allaah be pleased with him). (when she narrated the tradition about her divorce) he said “we are not to leave the book of our lord and the sunnah of our prophet (ﷺ) for the statement of a woman, we do not know whether she remembered it or not.”",0
bukhari,70,5416,the family of muhammad had not eaten wheat bread to their satisfaction for three consecutive dayssince his arrival at medina till he died.,abudaud,11,1690,the aforesaid tradition has also been transmitted by ibn ‘umar from the prophet (ﷺ) to the same effect.,0
abudaud,27,3553,"i heard the messenger of allah (ﷺ) say: every intoxicant is forbidden; if a faraq of anything causes intoxication, a handful of it is forbidden.",abudaud,35,4053,the hair of the messenger of allah (ﷺ) were above wafrah and below jummah.,0
tirmizi,48,3598,the messenger of allah (ﷺ) used to remember allah in all of his affairs.,tirmizi,8,789,"""the prophet would perform i'tikaf during the last ten (days) of ramadan until allah took him.""",0
tirmizi,7,634,"""the messenger of allah delivered a sermon to us, and said: 'o you women! give charity, even if it is from your jewelry, for indeed you will make up most of the people of hell on the day of judgment.'""",tirmizi,8,801,"the messenger of allah said: ""al-fitr is the day that the people break the fast, and al-adha is the day that the people sacrifice.""",0
tirmizi,25,1902,"that the messenger of allah (ﷺ) said: ""what an excellent condiment vinegar is."" another chain with similar except that he (ﷺ) said: ""what an excellent condiment, or, (the most excellent of) condiments is vinegar."" [abu 'eisa said:] this hadith is hasan sahih gharib from this route. it is not known as a hadith of hisham bin 'urwah except through the narration of sulaiman bin bilal.",abudaud,18,2729,"the messenger of allah (ﷺ) did not leave dinars, dirhams, camels and goats, nor did he leave will for anything.",0
tirmizi,10,991,"""one of the daughters of the prophet died, so he said: 'wash her an odd number of times, three, or five, or more than that as you see fit. wash her with water and sidr, and in the last (washing) add camphor, or something from camphor. when you are finished then inform me.' when we finished we informed him so he gave us his waist-sheet and said 'wrap her in it.'""",tirmizi,1,138,"a woman asked the prophet about a garment that was touched by some menstrual blood. so allah's messenger said: ""remove it, and scrub it, then rinse it and pray in it""",0
tirmizi,9,939,"the prophet said: ""umrah during ramadan is equal to hajj.""",tirmizi,9,820,"""the messenger of allah performed the ifrad form of hajj.""",0
tirmizi,33,2269,"the people will not finish attacking this house until it is attacked by an army which, when they are at al-baida', or a baida' in the land, it will swallow from the first of them to the last of them, and the middle of them shall not be saved.' i said: 'o messenger of allah(s.a.w)! what about those among them who are averse to it?' he said: 'allah will resurrect them upon what was in their souls(intentions).""'",abudaud,14,2320,the messenger of allah (ﷺ) said: he who does not determine to fast before dawn does not fast.,0
nesai,2,341,"""i poured some water for him for wudu', and a cat came and drank from it, so he tilted the vessel for it to drink."" kabshah said: ""he saw me looking at him and said: 'are you surprised, o daughter of my brother?' i said: 'yes.' he said: 'the messenger of allah (ﷺ) said: 'they are not impure, rather they are among the males and females (animals) who go around among you.""",ibnmaja,1,367,"she poured water for abu qatadah to perform ablution. a cat came and drank the water, and he tilted the vessel for it. she started looking at it (in surprise) and he said: ""o daughter of my brother, do you find it strange? the messenger of allah said: 'they (cats) are not impure, they are of those who go around among you.'""",1
tirmizi,33,2256,"perhaps there are those among them who are averse to it."" he said: ""they will be resurrected on their intentions.""",bukhari,65,4608,"this verse: ""allah will not punish you for what is unintentional in your oaths."" (5.89) was revealed about a man's state men (during his talk), ""no, by allah,"" and ""yes, by allah.""",0
abudaud,21,2993,the messenger of allah (ﷺ) prohibited us to wail.,nesai,35,3810,"""whoever vows to obey allah, let him obey him, and whoever vows to disobey allah, let him not disobey him.""",0
abudaud,21,2958,"the messenger of allah (ﷺ) visited me while i was sick. he said: be glad, umm al-ala' for allah removes the sins of a muslim for his illness as fire removes the dross of gold and silver.",abudaud,21,2959,"i said: messenger of allah, i know the severest verse in the qur'an. he asked: what is that verse. a'ishah? she replied: allah's words: ""if anyone does evil, he will be requited for it."" he said: do you know a'ishah, that when a believer is afflicted with a calamity or a thorn, it serves as an atonement for his evil deed. he who is called to account will be punished. she said: does allah not say: ""he truly will recieve an easy reckoning."" he said: this is the presentation, a'ishah. if anyone criticized in reckoning, he will be punished.abu dawud said: this is the version of ibn bashshar. he said: ibn abi mulaikah narrated to us.",0
tirmizi,2,170,"""the prophet was asked: 'which deed is the best?' so he said: 'salat in the beginning of its time.'""",abudaud,21,2993,the messenger of allah (ﷺ) prohibited us to wail.,0
nesai,10,845,"""prayer in congregation is twenty-five levels better than a prayer offered on one's own.""",tirmizi,9,939,"the prophet said: ""umrah during ramadan is equal to hajj.""",0
bukhari,56,2881,"the prophet (ﷺ) was vigilant one night and when he reached medina, he said, ""would that a pious man from my companions guard me tonight!"" suddenly we heard the clatter of arms. he said, ""who is that? "" he (the new comer) replied, "" i am sa`d bin abi waqqas and have come to guard you."" so, the prophet (ﷺ) slept (that night).",bukhari,76,5682,the prophet (ﷺ) used to like sweet edible things and honey.,0
ibnmaja,36,4008,"“the messenger of allah (ﷺ) woke up red in the face and said: ‘la ilaha illallah, woe to the arabs from an evil that has drawn nigh. today a hole has been opened in the barrier of gog and magog.’ and he gestured to indicate the size of the hole.” zainab said: “i said: ‘o messenger of allah! will we be destroyed when there are righteous people among us?’ he said: ‘if sin and evil deeds increase.’”",abudaud,11,1740,ibn ‘umar said i have not seen the apostle of allaah(ﷺ) touching anything in the house (the ka’bah) but the two yamani corners.,0
muslim,53,7065,"everyone who is reckoned thoroughly is undone. i said: allah's messenger, has allah not called (reckoning) as easy reckoning? thereupon he said.. it implies only presenta- tion of (one's deeds to him), but if one is thoroughly examined in reckoning, he in fact is undone.",muslim,53,7066,he who is examined thoroughly in reckoning is undone.,1
bukhari,56,2784,"(that she said), ""o allah's messenger (ﷺ)! we consider jihad as the best deed. should we not fight in allah's cause?"" he said, ""the best jihad (for women) is hajj-mabrur (i.e. hajj which is done according to the prophet's tradition and is accepted by allah).",tirmizi,10,991,"""one of the daughters of the prophet died, so he said: 'wash her an odd number of times, three, or five, or more than that as you see fit. wash her with water and sidr, and in the last (washing) add camphor, or something from camphor. when you are finished then inform me.' when we finished we informed him so he gave us his waist-sheet and said 'wrap her in it.'""",0
bukhari,81,6451,"when the prophet (ﷺ) died, nothing which can be eaten by a living creature was left on my shelf exceptsome barley grain. i ate of it for a period and when i measured it, it finished.",bukhari,81,6516,"the prophet (ﷺ) said, ""do not abuse the dead, for they have reached the result of what they have done.""",0
bukhari,66,5016,"whenever allah's messenger (ﷺ) became sick, he would recite mu'awwidhat (surat al-falaq and surat an-nas) and then blow his breath over his body. when he became seriously ill, i used to recite (these twosuras) and rub his hands over his body hoping for its blessings.",nesai,41,4249,"""the prophet was asked about the hides of dead animals."" he said: ""tanning it purifies it.""",0
nesai,41,4251,"""the dead animal is purified by tanning it.""",nesai,41,4245,"""a sheep of ours died, and we tanned its skin, and continued to make nabidh in it until it wore out.""",1
bukhari,64,4399,"i heard the prophet (ﷺ) reciting surat-al-mursalat `urfan (77) in the maghrib prayer, and after that prayer he did not lead us in any prayer till he died.",bukhari,61,3598,"that the prophet (ﷺ) came to her in a state of fear saying, ""none has the right to be worshiped but allah!woe to the arabs because of evil that has come near. today a hole has been made in the wall of gogand magog as large as this."" pointing with two of his fingers making a circle. zainab said, ""i said, 'oallah's messenger (ﷺ)! shall we be destroyed though amongst us there are pious people? ' he said, 'yes, ifevil increases.""",0
bukhari,61,3598,"that the prophet (ﷺ) came to her in a state of fear saying, ""none has the right to be worshiped but allah!woe to the arabs because of evil that has come near. today a hole has been made in the wall of gogand magog as large as this."" pointing with two of his fingers making a circle. zainab said, ""i said, 'oallah's messenger (ﷺ)! shall we be destroyed though amongst us there are pious people? ' he said, 'yes, ifevil increases.""",ibnmaja,36,4008,"“the messenger of allah (ﷺ) woke up red in the face and said: ‘la ilaha illallah, woe to the arabs from an evil that has drawn nigh. today a hole has been opened in the barrier of gog and magog.’ and he gestured to indicate the size of the hole.” zainab said: “i said: ‘o messenger of allah! will we be destroyed when there are righteous people among us?’ he said: ‘if sin and evil deeds increase.’”",1
bukhari,64,4405,"when the prophet (ﷺ) fell ill in his fatal illness, he started saying, ""with the highest companion.""",nesai,21,1897,"""the prophet was shrouded in three white suhuli garments.""",0
bukhari,75,5645,i never saw anybody suffering so much from sickness as allah's messenger (ﷺ).,bukhari,64,4405,"when the prophet (ﷺ) fell ill in his fatal illness, he started saying, ""with the highest companion.""",0
nesai,16,1465,"""the sun was eclipsed during the life of the prophet (ﷺ). the messenger of allah (ﷺ) went out to the masjid and stood and said the takbir, and the people formed rows behind him. he bowed four times and prostrated four times, and the eclipse ended before he finished.""",nesai,20,1799,"""whoever prays twelve rak'ahs in a day and prays before zuhr, allah (swt) will build for him a house in paradise.""",0
abudaud,43,5018,gabriel kept on commending the neighbor to me so that i thought he would make him an heir.,nesai,21,2083,"""the people will be raised up on the day of resurrection barefoot, naked and uncircumcised."" 'aishah said: ""what about their 'awrahs?"" he said: ""every man that day will have enough to make him careless of others"".",0
abudaud,43,5022,i asked : apostle of allah! i have two neighbors. with which of them should i begin? he replied: begin with the one whose door is nearer to you.abu dawud said: shu’bah said this tradition : talhah is a man of the quraish.,bukhari,34,2096,allah's messenger (ﷺ) bought food grains from a jew on credit and mortgaged his armor to him.,0
abudaud,9,1533,"she took the oath of allegiance to the messenger of allah (ﷺ)and said to him: messenger of allah, a poor man stands at my door, but i find nothing to give him. the messenger of allah (ﷺ) said to her: if you do not find anything to give him, put something in his hand, even though it should be a burnt hoof.",muslim,37,5301,he who drinks in the vessel of silver in fact drinks down in his belly the fire of hell.,0
muslim,37,5301,he who drinks in the vessel of silver in fact drinks down in his belly the fire of hell.,muslim,37,5303,he who drank in vessels of gold or silver he in fact drank down in his belly the fire of hell.,1
